MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
90,3,78.0,10530,1,3,3,0,3,0,11,2,1,5,4,4,1977,1977,1,0,7,1,90.0,3,3,1,2,3,1,2,975,5,0,975,0,3,1,3,0,0,1004,1,0,1,0,2,0,3,5,0,2,1,2,2,4,4,2,0,0,0,0,0,0,0,5,0,6,4
20,3,65.0,8450,1,3,3,0,3,0,12,2,1,1,3,5,1968,1968,1,0,9,1,0.0,3,3,1,3,3,3,1,775,5,281,1056,0,0,1,3,0,0,1056,1,0,1,0,3,0,3,5,1,1,1,2,1,4,4,2,0,85,184,0,0,0,0,7,4,6,4
60,1,65.0,8125,1,3,3,0,3,0,21,2,1,4,5,5,2007,2007,1,0,3,1,0.0,2,3,2,2,3,3,5,0,5,813,813,0,0,1,3,843,0,1665,0,0,2,1,3,0,2,5,0,2,1,1,2,4,4,2,0,0,0,0,0,0,0,5,2,6,4
20,3,93.0,12085,1,3,3,0,3,0,16,2,1,1,6,4,2007,2007,3,0,9,2,328.0,2,3,2,0,3,3,2,1004,5,730,1734,0,0,1,3,0,0,1734,1,0,2,0,3,0,0,5,1,2,1,1,3,4,4,2,0,0,0,0,0,0,0,11,1,4,5
60,3,80.0,10421,1,3,3,0,3,0,14,2,1,4,5,4,1988,1988,1,0,4,1,42.0,3,3,1,2,3,3,2,394,5,586,980,0,3,1,3,734,0,1714,0,0,2,1,3,0,3,5,1,4,1,2,2,4,4,2,228,66,156,0,0,0,3,3,4,6,4
20,3,102.0,17920,1,3,3,0,3,0,19,2,1,1,3,3,1955,1974,3,0,10,1,0.0,3,3,1,3,3,2,0,306,4,372,1763,0,3,1,3,0,0,1779,1,0,1,1,3,0,3,5,1,2,1,2,2,4,4,2,0,418,0,0,312,0,0,7,0,6,0
190,3,62.0,10106,1,3,3,0,3,0,7,2,1,0,3,6,1940,1999,1,0,10,1,0.0,3,2,0,3,3,3,0,351,4,112,644,0,2,1,3,547,0,1355,1,0,2,0,4,1,3,5,0,2,1,2,0,4,4,2,140,0,0,0,0,0,0,9,2,6,4
20,3,69.0,9920,1,0,3,0,3,0,5,2,1,1,3,5,1969,1969,1,0,4,1,0.0,3,3,1,2,3,1,0,523,5,448,971,0,3,1,3,0,0,971,0,0,1,1,3,0,3,5,1,3,1,2,1,4,4,2,0,0,0,0,0,0,0,5,0,6,4
50,4,98.0,8820,1,3,3,0,0,0,17,2,1,0,3,5,1890,1996,3,0,9,1,0.0,3,3,0,3,3,3,3,1088,5,0,1088,0,3,1,3,561,1,1869,0,0,1,0,2,0,3,5,0,2,5,2,2,4,4,2,48,0,244,0,0,0,0,9,3,6,4
70,3,55.0,10592,1,3,3,0,3,0,6,2,1,4,4,6,1923,1996,3,0,10,1,0.0,3,2,2,3,0,3,5,0,5,602,602,0,3,1,3,602,0,1502,0,0,1,1,3,0,2,5,2,4,5,2,1,4,4,2,96,0,112,0,53,0,0,8,1,6,4
160,4,21.0,2001,1,3,3,0,3,0,10,2,1,4,2,4,1970,1970,1,0,3,1,80.0,3,3,1,3,3,3,5,0,5,546,546,0,1,1,3,546,0,1092,0,0,1,1,3,0,3,5,0,2,1,2,1,4,4,2,0,0,0,0,0,0,0,1,1,6,4
